TEAM_AWAY,TEAM_HOME,MONEYLINE_AWAY,MONEYLINE_HOME,TOTAL_PTS,TOTAL_OVER_ODDS,TOTAL_UNDER_ODDS,SPREAD_AWAY_ODDS,SPREAD_AWAY_PTS,SPREAD_HOME_ODDS,SPREAD_HOME_PTS
New York Yankees,Atlanta Braves,1.943396226415094,1.833333333333333,6.5,1.847457627118644,1.892857142857143,1.543478260869565,1.5,2.52,-1.5
Baltimore Orioles,Tampa Bay Rays,1.476190476190476,2.62,8.5,1.869565217391304,1.952380952380952,1.520833333333333,1.5,2.58,-1.5
Athletics,Cleveland Guardians,2.32,1.588235294117647,5.5,1.769230769230769,1.980392156862745,1.515463917525773,1.5,2.44,-1.5
Cincinnati Reds,New York Mets,2.38,1.609756097560976,8.0,1.869565217391304,1.952380952380952,1.666666666666667,1.5,2.25,-1.5
Chicago White Sox,Pittsburgh Pirates,2.34,1.632911392405063,9.0,1.980392156862745,1.833333333333333,1.641025641025641,1.5,2.3,-1.5
Boston Red Sox,Chicago Cubs,5.6,1.133333333333333,10.5,1.943396226415094,1.8,2.0,3.5,1.757575757575758,-3.5
Detroit Tigers,Texas Rangers,5.4,1.142857142857143,6.5,1.869565217391304,1.952380952380952,2.22,-1.5,1.684931506849315,1.5
San Diego Padres,Washington Nationals,1.833333333333333,2.02,8.0,1.847457627118644,1.961538461538462,2.32,-1.5,1.625,1.5
Los Angeles Angels,Philadelphia Phillies,1.377358490566038,3.0,9.5,1.847457627118644,1.892857142857143,1.769230769230769,-1.5,1.980392156862745,1.5
Minnesota Twins,Colorado Rockies,1.515463917525773,2.62,11.5,1.819672131147541,2.0,1.714285714285714,-1.5,2.16,1.5
St. Louis Cardinals,Arizona Diamondbacks,7.0,1.090909090909091,10.5,1.8,1.943396226415094,1.657894736842105,4.5,2.14,-4.5
Kansas City Royals,Miami Marlins,1.72463768115942,2.18,7.5,1.909090909090909,1.909090909090909,2.25,-1.5,1.666666666666667,1.5
Milwaukee Brewers,Los Angeles Dodgers,2.06,1.806451612903226,7.5,1.819672131147541,2.0,1.704225352112676,1.5,2.18,-1.5
San Francisco Giants,Toronto Blue Jays,1.925925925925926,1.925925925925926,8.0,1.869565217391304,1.952380952380952,2.46,-1.5,1.568181818181818,1.5
Houston Astros,Seattle Mariners,2.12,1.757575757575758,8.0,1.909090909090909,1.909090909090909,1.549450549450549,1.5,2.5,-1.5
